VERSION,AGEUP,BURUP,ACCT,BUD_FUNCTION,BUD_SUBFCT,ACCOUNT_TITLE,AGENCY_TITLE,BUREAU_TITLE,PA_NARRATIVE,PN_NARRATIVE
PB21PF01,446,00,0111  ,600 - Income Security                                                 ,601 - General retirement and disability insurance (excluding social se,446-00-0111   Dual Benefits Payments Account,Railroad Retirement Board,Railroad Retirement Board,"dual benefits payments accountFor payment to the Dual Benefits Payments Account, authorized under section 15(d) of the Railroad Retirement Act of 1974, $16,000,000$13,000,000, which shall include amounts becoming available in fiscal year 20202021 pursuant to section 224(c)(1)(B) of Public Law 98-76; and in addition, an amount, not to exceed 2 percent of the amount provided herein, shall be available proportional to the amount by which the product of recipients and the average benefit received exceeds the amount available for payment of vested dual benefits: Provided, That the total amount provided herein shall be credited in 12 approximately equal amounts on the first day of each month in the fiscal year.","This appropriation is a Federal subsidy to the rail industry pension for costs not financed by the railroad sector.Established in conjunction with the Railroad Retirement Solvency Act of 1983, this account acts as a conduit for various financial transactions, such as interfund transfers and fund transfers from the Department of the Treasury."
PB21PF01,009,38,0112  ,550 - Health                                                          ,551 - Health care services                                            ,009-38-0112   Rate Review Grants,Department of Health and Human Services,Centers for Medicare and Medicaid Services,,"The Patient Protection and Affordable Care Act (P.L. 111-148) added section 2794 to the Public Health Service Act and provided that the Secretary carry out a program to award grants to States for a five-year period beginning in fiscal year 2010. The program provided $250 million in grants to help States develop or enhance their current rate review activities from 2010 through 2014, with remaining unobligated balances subsequently available for state implementation of consumer protections and other insurance reform activities consistent with section 2794(c)(2)(B)."
PB21PF01,020,00,0112  ,300 - Natural Resources and Environment                               ,304 - Pollution control and abatement                                 ,020-00-0112   Office of Inspector General,Environmental Protection Agency,Environmental Protection Agency,"Office of inspector generalFor necessary expenses of the Office of Inspector General in carrying out the provisions of the Inspector General Act of 1978, $41,489,000 $39,825,000, to remain available until September 30, 2021 2022.","This appropriation supports the Environmental Protection Agency's (EPA) core programs by providing funds for independent Office of Inspector General (OIG) audit, evaluation, and investigative products and advisory services. These products and services consistently provide significant positive monetary return on investment and contribute substantially to risk reduction, improved environmental quality and human health, as well as improved business practices, operational efficiency, and accountability. Specifically, the OIG performs contract audits and investigations that focus on costs claimed by contractors and assess the effectiveness of contract management. Assistance agreement audits and investigations evaluate the award, administration, and costs of assistance agreements. Program audits, evaluations, and investigations determine the extent to which the desired results or benefits envisioned by the Administration and the Congress are being achieved, and identify activities that could undermine the integrity, efficiency, and effectiveness of EPA programs. Financial statement audits review financial systems and statements to ensure that adequate controls are in place and EPA's accounting information is timely, accurate, reliable and useful, and complies with applicable laws and regulations. Efficiency, risk assessment, and program performance audits review the economy, efficiency, and effectiveness of operations by examining EPA's structure and processes for achieving environmental goals, including assessing risk, setting priorities, developing implementation strategies, and measuring performance. Information resource management audits review EPA information technology and systems to test the integrity of data and systems controls, as well as compliance with a variety of Federal information security laws and requirements. Investigations prevent, detect, and seek prosecution for criminal activity and serious misconduct in EPA programs and operations. Major areas of investigative focus include: financial fraud; infrastructure/terrorist threat; program integrity; employee integrity; cyber-crimes; and theft of intellectual or sensitive data. In addition, the EPA Inspector General serves as the IG for the U.S. Chemical Safety and Hazard Investigation Board, providing the full range of audit, evaluation, and investigative services specified by the Inspector General Act, as amended. Additional funds for audit, evaluation, and investigative activities associated with the Hazardous Substance Superfund are appropriated under that account and transferred to the Inspector General account. "
PB21PF01,024,15,0112  ,990 - Multiple functions                                              ,999 - Multiple functions                                              ,024-15-0112   Operations and Support,Department of Homeland Security,Management Directorate,"Operations and supportFor necessary expenses of the Management Directorate for operations and support, $1,182,142,000 $1,402,196,000: Provided, That not to exceed $2,000 shall be for official reception and representation expenses: Provided further, That of the funds made available under this heading, $2,000,000 shall be withheld from obligation until the first report required by section 403 has been made available on a publicly accessible website.","The Management Directorate provides enterprise leadership and management and business administration services, as well as biometric and identity management services. These can include financial management, acquisition oversight, workforce management, physical and personnel security requirements, administrative supplies and services, non-programmatic information technology, day-to-day management of headquarters-related property and assets, daily communication costs, and other general day-to-day management and administration. The Management Directorate includes the following offices: Immediate Office of the Under Secretary for Management; Office of the Chief Readiness Support Officer; Office of the Chief Human Capital Officer; Office of the Chief Procurement Officer; Office of the Chief Financial Officer; Office of the Chief Information Officer; Office of the Chief Security Officer, and the Office of Biometric Identity Management."
PB21PF01,026,00,0112  ,990 - Multiple functions                                              ,999 - Multiple functions                                              ,026-00-0112   Mission Support,National Aeronautics and Space Administration,National Aeronautics and Space Administration,,
PB21PF01,009,38,0113  ,550 - Health                                                          ,551 - Health care services                                            ,009-38-0113   Pre-Existing Condition Insurance Plan Program,Department of Health and Human Services,Centers for Medicare and Medicaid Services,,"This account funded the Pre-Existing Condition Insurance Plan program (PCIP), which made health insurance available to people who had been unable to purchase insurance due to a pre-existing condition. Enrollees paid monthly premiums similar to those charged in the commercial individual market, and the Federal government paid for remaining costs that exceeded enrollee contributions. The funding for this program, including operating costs, was provided in the Patient Protection and Affordable Care Act (P.L. 111-148). The PCIP program ended in fiscal year 2014, and outlays in subsequent fiscal years reflect program close out and claims run out costs, as well as allowable administrative costs in the current year."
PB21PF01,014,05,0113  ,150 - International Affairs                                           ,153 - Conduct of foreign affairs                                      ,014-05-0113   Diplomatic Programs,Department of State,Administration of Foreign Affairs,"Administration of foreign affairsDiplomatic programsFor necessary expenses of the Department of State and the Foreign Service not otherwise provided for, $9,125,687,000, of which $754,468,000 may $8,489,887,000, to remain available until September 30, 2021, 2022, and of which up to $4,095,899,000 may $3,695,412,000 shall remain available until expended for Worldwide Security Protection: Provided, That of the amount made available under this heading for Worldwide Security Protection, $2,626,122,000 is designated by the Congress for Overseas Contingency Operations/Global War on Terrorism pursuant to section 251(b)(2)(A)(ii) of the Balanced Budget and Emergency Deficit Control Act of 1985: Provided further, That funds made available under this heading shall be allocated in accordance with paragraphs (1) through (4) as follows:(1) Human resources.--For necessary expenses for training, human resources management, and salaries, including employment without regard to civil service and classification laws of persons on a temporary basis (not to exceed $700,000), as authorized by section 801 of the United States Information and Educational Exchange Act of 1948 (62 Stat. 11; Chapter 36), $2,896,063,000$2,999,725,000, of which up to $509,782,000 $543,687,000 is for Worldwide Security Protection.(2) Overseas programs.--For necessary expenses for the regional bureaus of the Department of State and overseas activities as authorized by law, $1,840,143,000$1,500,293,000. (3) Diplomatic policy and support.--For necessary expenses for the functional bureaus of the Department of State, including representation to certain international organizations in which the United States participates pursuant to treaties ratified pursuant to the advice and consent of the Senate or specific Acts of Congress, general administration, and arms control, nonproliferation, and disarmament activities as authorized, $780,057,000 $816,911,000.(4) Security programs.--For necessary expenses for security activities, $3,609,424,000$3,172,958,000, of which up to $3,586,117,000 $3,151,725,000 is for Worldwide Security Protection.(5) Fees and payments collected.--In addition to amounts otherwise made available under this heading-(A) as authorized by section 810 of the United States Information and Educational Exchange Act, not to exceed $5,000,000, to remain available until expended, may be credited to this appropriation from fees or other payments received from English teaching, library, motion pictures, and publication programs and from fees from educational advising and counseling and exchange visitor programs; and(B) not to exceed $15,000, which shall be derived from reimbursements, surcharges, and fees for use of Blair House facilities.(6) Transfer of funds, reprogramming, and other matters.--(A) Notwithstanding any other provision of this Act, funds may be reprogrammed within and between paragraphs (1) through (4) under this heading subject to section 7015 7011 of this Act.(B) Of the amount made available under this heading, not to exceed $10,000,000 may be transferred to, and merged with, funds made available by this Act under the heading ""Emergencies in the Diplomatic and Consular Service"", to be available only for emergency evacuations and rewards, as authorized.(C) The Secretary of State is authorized to charge fees for the performance of appropriate museum visitor and outreach services in the public exhibition and related space utilized by the National Museum of American Diplomacy, including for programs and conference activities, museum shop, and food services: Provided, That fees collected shall be credited to this account as a recovery of costs of operating the National Museum of American Diplomacy and shall be available until expended.(D) Funds appropriated under this heading are available for acquisition by exchange or purchase of passenger motor vehicles as authorized by law and, pursuant to section 1108(g) of title 31, United States Code, for the field examination of programs and activities in the United States funded from any account contained in this title.(E) Of the amount made available under this heading, not to exceed $1,000,000 may be used to make grants to carry out the activities of the Cultural Antiqutiies Task Force. (7) Clarification.--References to the ""Diplomatic and Consular Programs"" account in any provision of law shall in this fiscal year, and each fiscal year thereafter, be construed to include the ""Diplomatic Programs"" account.","Diplomatic Programs (DP) is financed by this appropriation, fees for services, and reimbursements from other agencies (including for administrative and other services provided by the Department of State). As in previous years, two-year funding is requested for this account, except for funds requested for Worldwide Security Protection (WSP), which are to remain available until expended. DP is the Department of State's primary operating account and funds a broad range of activities from policy setting, planning and design, to implementation and operations and maintenance. The 2021 request includes base funding for the State Department operations in Iraq, Afghanistan, Pakistan, and other High Threat Posts (HTP). Funds are requested in the following categories:Human Resources.--This category supports American salaries at overseas and domestic United States diplomatic missions, including Department of State employees carrying out security protection activities. Professional development and training is a continuous process by which the Department ensures that its professionals have the skills, experience and judgment to fulfill its functions at all levels. Training programs are designed to provide employees with the specific functional area and language skills needed for the conduct of foreign relations in the Department and abroad. This activity also supports the management, recruitment, and performance evaluation of Foreign and Civil Service employees (including efforts to attract a diverse applicant pool) and locally employed staff.Overseas Programs.--This category provides funding for the operational programs of all the regional bureaus of the Department of State, which are responsible for managing United States foreign policy through bilateral and multilateral relationships. Funds made available for 2021 will support 6United States embassies, consulates, and other diplomatic posts worldwide. Resources for this activity are used to provide for: the political and economic reporting and analysis of interests to the United States; the representation of U.S. diplomatic and national interests to countries abroad; and the bilateral and multilateral negotiation of U.S. foreign policy objectives, including the hosting of and participation in various international conferences, meetings and other multilateral activities in the United States and abroad.  This activity also encompasses medical programs for the Department of State, the Foreign Service and other U.S. Government departments and agencies overseas. Centralized funding for travel and transportation of effects associated with the assignment, transfer, home leave and separation of the Department's personnel and dependents is also included in this activity. Diplomatic Policy and Support.--This category supports the operational programs of the functional bureaus of the Department of State, which includes providing overall policy direction, coordination, and program management among United States missions abroad in pursuit of regional and global foreign policy objectives, including the hosting of various international conferences and meetings in the United States and abroad. Resources also fund the management of U.S. participation in arms control, nonproliferation, and disarmament negotiations and other verification and compliance activities, in addition to funds otherwise available for such purposes. The information management activity in DP includes resources that are used for the creation, collection, processing, use, storage, and disposition of information required for the formulation and execution of foreign policy and for the conduct of daily business. Components of the information management activity include: telecommunications, information security, information system services, pouch, mail and publishing services for both unclassified and classified information. These activities include domestic and overseas execution of Department programs, such as budget and financial management, contracting and procurement, domestic facilities and vehicles, and rental payments to GSA.Security Programs.--This category provides for the operation of security programs, including for Worldwide Security Protection (WSP) and the Bureau of Diplomatic Security, to protect diplomatic personnel, overseas diplomatic missions, residences, domestic facilities and information. The salaries paid to Department employees who carry out the security protection function worldwide are included in the Human Resources program activity. This activity identifies resources that are used in meeting security and counterterrorism responsibilities, both foreign and domestic. Programs covered in this activity include but are not limited to: security operations; engineering services, which are related to the technical defense of U.S. Government personnel and establishments abroad against electronic and physical attack; homeland security related activities; protection of Department personnel and foreign dignitaries; and physical security operations."
PB21PF01,446,00,0113  ,600 - Income Security                                                 ,601 - General retirement and disability insurance (excluding social se,446-00-0113   Federal Payments to the Railroad Retirement Accounts,Railroad Retirement Board,Railroad Retirement Board,"federal payments to the railroad retirement accountsFor payment to the accounts established in the Treasury for the payment of benefits under the Railroad Retirement Act for interest earned on unnegotiated checks, $150,000, to remain available through September 30, 2021 2022, which shall be the maximum amount available for payment pursuant to section 417 of Public Law 98-76.",This account funds interest on uncashed checks and the transfer of income taxes on Tier I and Tier II railroad retirement benefits.
PB21PF01,009,38,0114  ,550 - Health                                                          ,551 - Health care services                                            ,009-38-0114   Early Retiree Reinsurance Program,Department of Health and Human Services,Centers for Medicare and Medicaid Services,,"The Patient Protection and Affordable Care Act (P.L. 111-148) authorized and appropriated $5 billion for the Early Retiree Reinsurance Program (ERRP). By statute, ERRP sunset on January 1, 2014, and is no longer providing reimbursements to plan sponsors."
PB21PF01,026,00,0114  ,990 - Multiple functions                                              ,999 - Multiple functions                                              ,"026-00-0114   Science, Aeronautics, and Exploration",National Aeronautics and Space Administration,National Aeronautics and Space Administration,,
PB21PF01,446,00,0114  ,600 - Income Security                                                 ,603 - Unemployment compensation                                       ,"446-00-0114   Railroad Unemployment Insurance Extended Benefit Payments, Recovery Act",Railroad Retirement Board,Railroad Retirement Board,,This appropriation provides funding for extended unemployment benefits paid by the Railroad Retirement Board under the American Recovery and Reinvestment Act of 2009 (P.L. 111-5).
PB21PF01,009,38,0115  ,550 - Health                                                          ,551 - Health care services                                            ,009-38-0115   Affordable Insurance Exchange Grants,Department of Health and Human Services,Centers for Medicare and Medicaid Services,,"This program provided funding for Planning and Establishment Grants to States for their activities to implement Health Insurance Exchanges. The Exchanges facilitated the purchase of qualified health plans in the individual market and allowed small businesses to offer qualified health plans to their employees through the Small Business Health Options Program (SHOP). Section 1311 of the Patient Protection and Affordable Care Act (P.L. 111-148) provided amounts necessary to enable the Secretary to award grants to States beginning no later than March 23, 2011, and allowed for renewal of grants through January 1, 2015. The final round of grants was awarded to States in December 2014."
PB21PF01,015,05,0115  ,800 - General Government                                              ,803 - Central fiscal operations                                       ,015-05-0115   Treasury Capital Investments and Modernization Fund,Department of the Treasury,Departmental Offices,"Department-Wide systems and Treasury capital investments programs and Modernization Fund(including transfer of funds)For development and acquisition of automatic data processinginformation technology equipment, software, and services and for repairs and renovations to buildings owned by the Department of the Treasury, $6,118,000$13,500,000, to remain available until September 30, 20222025: Provided, That these funds shall any funds available under this heading may be transferred to accounts and in amounts as necessary to satisfy the requirements of the Department's offices, bureaus, and other organizations: Provided further, That thisall transfer authority under this heading shall be in addition to any other transfer authority provided in this Act: Provided further, That none of the funds appropriated under this heading shall be used to support or supplement ""Internal Revenue Service, Operations Support"" or ""Internal Revenue Service, Business Systems Modernization"".","This account is authorized to be used by Treasury's offices and bureaus to modernize business processes, increase efficiency, and improve infrastructure through technology and capital investments. The Budget proposes to change the name of this account to Treasury Capital Investments and Modernization Fund (TCIMF) from Department-wide Systems and Capital Investments Program (DSCIP). This proposed name change reflects the evolving vision for the account to focus on modernization of Information Technology (IT) and increased cybersecurity along with the existing authorities supporting repairs and renovations to Treasury's White House complex buildings and facilities. The Budget requests new transfer authority that will provide greater flexibility for Treasury bureaus to invest in IT projects that advance their mission and align to Departmental Chief Information Officer priorities. Funds transferred into the account from bureaus are intended to be used for IT modernization efforts to address Treasury's technology needs and modernize business processes. "
PB21PF01,024,18,0115  ,750 - Administration of Justice                                       ,751 - Federal law enforcement activities                              ,024-18-0115   Operations and Support,Department of Homeland Security,Analysis and Operations,"Operations and supportFor necessary expenses of the Office of Intelligence and Analysis and the Office of Operations Coordination for operations and support, $284,141,000 $312,638,000, of which $68,579,000 $82,620,000 shall remain available until September 30, 2021 2022: Provided, That not to exceed $3,825 shall be for official reception and representation expenses and not to exceed $2,000,000 is available for facility needs associated with secure space at fusion centers, including improvements to buildings.","Analysis and Operations (A&amp;O) provides resources supporting the Office of Intelligence and Analysis (I&amp;A) and the Office of Operations Coordination (OPS). This funding includes both National Intelligence Program (NIP) and non-NIP resources. Even though these two offices are different and distinct in their missions, they work closely together and collaborate with other departmental component agencies and related Federal agencies, as well as State, local, tribal, foreign, and private-sector partners, to improve intelligence analysis, information sharing, incident management support, and situational awareness. I&amp;A's mission is to equip the Homeland Security Enterprise with the timely intelligence and information it needs to keep the homeland safe, secure, and resilient. I&amp;A is the interface between the Intelligence Community (IC) and Federal, State, local, and private sector homeland security partners, providing strategic analyses, warning, and actionable intelligence, ensuring departmental leadership, components, law enforcement, and IC partners have the tools they need to confront and disrupt terrorist threats. I&amp;A's unique mission within the IC blends national intelligence with Department of Homeland Security (DHS) component and other stakeholder source data, providing homeland security-centric analysis. The Under Secretary for Intelligence and Analysis leads I&amp;A and is the Department's Chief Intelligence Officer responsible for overseeing the DHS Intelligence Enterprise. The Under Secretary is also responsible for implementing the National Strategy on Information Sharing across the Department. The mission of OPS is to provide operations coordination, information sharing, situational awareness, the common operating picture, and Department continuity, enabling execution of the Secretary's responsibilities across the homeland security enterprise. OPS plays a pivotal role in the DHS mission to lead the unified national effort to secure America by facilitating the Secretary's responsibilities across the full spectrum of incident management efforts (i.e., prevention, protection, response and recovery). OPS provides situational awareness, assessments, and operations coordination for the DHS Secretary and facilitates operational information sharing with all DHS components, as well as for Federal, State, local, tribal, private sector, and international partners. OPS supports the DHS mission to lead the national unified effort to secure America by maintaining the National Operations Center (NOC) and by providing 24/7 multi-agency organization, fusing law enforcement, national intelligence, emergency response, and private sector reporting. The NOC is the primary national-level hub for domestic incident management, operations coordination, and situational awareness."
PB21PF01,026,00,0115  ,"250 - General Science, Space, and Technology                          ","252 - Space flight, research, and supporting activities               ",026-00-0115   LEO and Spaceflight Operations,National Aeronautics and Space Administration,National Aeronautics and Space Administration,"Space LEO and Spaceflight operationsFor necessary expenses, not otherwise provided for, in the conduct and support of space operations research and development activities, including research, development, operations, support and services; space flight, spacecraft control and communications activities, including operations, production, and services; maintenance and repair, facility planning and design; program management; personnel and related costs, including uniforms or allowances therefor, as authorized by sections 5901 and 5902 of title 5, United States Code; travel expenses; purchase and hire of passenger motor vehicles; and purchase, lease, charter, maintenance and operation of mission and administrative aircraft, $4,140,200,000 $4,187,300,000, to remain available until September 30, 2021 2022.","This appropriation provides for the full costs associated with human-related Low Earth Orbit (LEO) and spaceflight operations activities of the Agency. The full costs include all labor, travel, procurement, test, and fabrication costs associated with the research, development, operations, and other general and administrative activities conducted by the programs within this account. Major themes within the LEO and Spaceflight Operations account include the International Space Station, Space Transportation, Space and Flight Support, and Commercial LEO Development. Performance goals associated with these activities are addressed in NASA's detailed budget request.The International Space Station (ISS) is a complex of research laboratories in LEO where America and its international partners, including Russia, Canada, Europe, and Japan, conduct unique scientific and technological investigations in a microgravity environment. The objective of the International Space Station is to support human space exploration and conduct science experiments and technology development activities unique to the on-orbit attributes of the facility.The Space Transportation theme is comprised of the Commercial Crew Program and Crew and Cargo Program, which transport U.S. astronauts and cargo safely back and forth to the ISS and, in the future, to other orbital platforms and destinations. Maintaining the ISS requires a fleet of vehicles and launch locations to transport astronauts, science experiments, supplies, maintenance hardware, and propellant to the ISS, and to dispose of waste generated on the ISS. The Commercial Crew Program partners with two U.S. companies, SpaceX and Boeing, to develop and operate safe, reliable, and affordable crew transportation to LEO. The Crew and Cargo Program purchases cargo transportation services to the ISS through contracts with Northrop Grumman, SpaceX, and Sierra Nevada and purchases crew transportation services from Boeing and SpaceX. Payments to develop and test commercial crew vehicles, and for initial Post Certification Missions for each provider are funded by the Commercial Crew Program, whereas subsequent payments for operational commercial crew missions are funded by the Crew and Cargo Program.Space and Flight Support is comprised of multiple programs that provide ongoing support for a wide range of services required for safe and successful space mission operations. These programs include Space Communications and Navigation, Communications Services Program, Human Space Flight Operations, Launch Services, and Rocket Propulsion Testing. Services are provided to a wide range of customers including NASA, other U.S. Federal agencies, foreign governments, and industry partners.Commercial LEO Development supports efforts to expand commercial activities in LEO, with a focus on enabling, developing, and deploying commercial platforms that can be used by NASA and other customers and on supporting the growth of private sector activity in LEO."
PB21PF01,009,90,0116  ,550 - Health                                                          ,551 - Health care services                                            ,009-90-0116   Prevention and Public Health Fund,Department of Health and Human Services,Departmental Management,,"The Prevention and Public Health Fund supports prevention and public health activities. In FY 2021, $894 million is available to support a range of public health efforts intended to prevent disease and reduce health care costs. The Secretary has authority to transfer to accounts within HHS."
PB21PF01,021,04,0116  ,400 - Transportation                                                  ,407 - Other transportation                                            ,021-04-0116   Financial Management Capital,Department of Transportation,Office of the Secretary,"Financial management capitalFor necessary expenses for upgrading and enhancing the Department of Transportation's financial systems and re-engineering business processes, $2,000,000, to remain available through September 30, 2021 2023.","This appropriation provides funds to support projects that modernize DOT's financial systems and business processes to comply with key financial management initiatives. These funds will assist DOT in increasing data quality, ensuring compliance with financial standards and reporting, execution of DATA Act requirements, and other critical needs that may arise."
PB21PF01,005,19,0117  ,350 - Agriculture                                                     ,352 - Agricultural research and services                              ,005-19-0117   Agriculture Buildings and Facilities and Rental Payments,Department of Agriculture,Buildings and Facilities,"Agriculture buildings and facilities(including transfers of funds)For payment of space rental and related costs pursuant to Public Law 92-313, including authorities pursuant to the 1984 delegation of authority from the Administrator of General Services to the Department of Agriculture under 40 U.S.C. 121, for programs and activities of the Department which are included in this Act, and for alterations and other actions needed for the Department and its agencies to consolidate unneeded space into configurations suitable for release to the Administrator of General Services, and for the operation, maintenance, improvement, and repair of Agriculture buildings and facilities, and for related costs, $128,167,000 $152,829,000, to remain available until expended.","This account finances the operations, repair, improvement and maintenance activities of two headquarters buildings in Washington, DC and the George Washington Carver Center in Beltsville, MD. The 2021 Budget requests $152.8 million for operations and maintenance."
PB21PF01,009,90,0117  ,550 - Health                                                          ,551 - Health care services                                            ,009-90-0117   Pregnancy Assistance Fund,Department of Health and Human Services,Departmental Management,,This appropriation funds competitive grants to States to assist pregnant and parenting teens and women. Annual funding for this program expired at the end of FY 2019. The Budget does request an extension of this program.
PB21PF01,015,05,0117  ,750 - Administration of Justice                                       ,751 - Federal law enforcement activities                              ,015-05-0117   Counterterrorism Fund,Department of the Treasury,Departmental Offices,,
PB21PF01,024,68,0117  ,450 - Community and Regional Development                              ,453 - Disaster relief and insurance                                   ,024-68-0117   Operations and Support,Department of Homeland Security,Office of Health Affairs,,"In December 2017, the Department established the Countering Weapons of Mass Destruction (CWMD) Office, and core functions performed under the former Office of Health Affairs (OHA) were transferred to CWMD.  Starting in 2019, funding associated with the Workforce Health and Safety program activities supporting DHS personnel is requested in the Management Directorate's Operations and Support account for the Office of the Chief Human Capital Officer. All other funding associated with the OHA O&amp;S account is requested in CWMD."
PB21PF01,446,00,0117  ,600 - Income Security                                                 ,603 - Unemployment compensation                                       ,446-00-0117   Railroad Unemployment Insurance Extended Benefit Payments,Railroad Retirement Board,Railroad Retirement Board,,"This appropriation provides funding for extended unemployment benefits paid by the Railroad Retirement Board under the Worker, Homeownership, and Business Assistance Act of 2009 (P.L. 111-92), the Tax Relief, Unemployment Insurance Reauthorization, and Job Creation Act of 2010 (P.L. 111-312), the Temporary Payroll Tax Cut Continuation Act (P.L. 112-78), the Middle Class Tax Relief and Job Creation Act of 2012 (P.L. 112-96)."
PB21PF01,009,38,0118  ,550 - Health                                                          ,551 - Health care services                                            ,009-38-0118   Consumer Operated and Oriented Plan Program Account,Department of Health and Human Services,Centers for Medicare and Medicaid Services,,"Section 1322 of the Patient Protection and Affordable Care Act (P.L. 111-148) authorized and appropriated funding for the Consumer Operated and Oriented Plan (CO-OP) Program. The CO-OP Program fosters the creation of qualified nonprofit health insurance issuers that operate with a strong consumer focus to offer qualified health plans in the individual and small group markets in the States. The Secretary awarded loans to qualified nonprofit issuers to fund start-up costs and reserves, which enabled qualified issuers to meet state solvency requirements. The Secretary issued the final round of loans in December 2014. "
PB21PF01,010,92,0118  ,800 - General Government                                              ,806 - General purpose fiscal assistance                               ,010-92-0118   Salaries and Expenses,Department of the Interior,National Indian Gaming Commission,,"The National Indian Gaming Commission conducts background investigations of individuals and entities with a financial interest in, or management responsibility for, potential management contracts. Tribes may also submit fingerprint cards to the Commission for processing by the Federal Bureau of Investigation and the Commission may charge a fee to process fingerprint cards on behalf of the Tribes. The Commission is reimbursed from the potential contractors to conduct these background investigations and also for fingerprint processing costs."
PB21PF01,021,04,0118  ,400 - Transportation                                                  ,407 - Other transportation                                            ,021-04-0118   Office of Civil Rights,Department of Transportation,Office of the Secretary,"Office of civil rightsFor necessary expenses of the Office of Civil Rights, $9,470,000 $9,600,000.","The Office of Civil Rights provides Department-wide leadership for all civil rights activities, including employment opportunity and enforcement of laws and regulations that prohibit discrimination in the financing and operation of transportation programs with Federal resources. The Office also is responsible for non-discrimination policy development, analysis, coordination and compliance, and promotes an organizational culture that values workforce diversity, and handles all civil rights cases related to Department of Transportation employees."
PB21PF01,009,90,0119  ,550 - Health                                                          ,551 - Health care services                                            ,009-90-0119   Health Insurance Reform Implementation Fund,Department of Health and Human Services,Departmental Management,,"Section 1005 of the Health Care and Education Reconciliation Act of 2010 (P.L. 111-152) appropriated $1,000,000,000 to the Health Insurance Reform Implementation Fund within the Department of Health and Human Services. The Fund shall be used for Federal administrative expenses necessary to carry out the requirements of the Patient Protection and Affordable Care Act of 2010 (P.L. 111-148) and the Health Care and Education Reconciliation Act of 2010."
PB21PF01,015,05,0119  ,800 - General Government                                              ,803 - Central fiscal operations                                       ,015-05-0119   Treasury Inspector General for Tax Administration,Department of the Treasury,Departmental Offices,"Treasury inspector general for tax administrationSalaries and expensesFor necessary expenses of the Treasury Inspector General for Tax Administration in carrying out the Inspector General Act of 1978, as amended, including purchase and hire of passenger motor vehicles (31 U.S.C. 1343(b)); and services authorized by 5 U.S.C. 3109, at such rates as may be determined by the Inspector General for Tax Administration; $170,250,000$171,350,000, of which $5,000,000 shall remain available until September 30, 2021 2022; of which not to exceed $6,000,000 shall be available for official travel expenses; of which not to exceed $500,000 shall be available for unforeseen emergencies of a confidential nature, to be allocated and expended under the direction of the Inspector General for Tax Administration; and of which not to exceed $1,500 shall be available for official reception and representation expenses.","The Treasury Inspector General for Tax Administration (TIGTA), an independent office within the Department of the Treasury, is charged with providing oversight of the Internal Revenue Service (IRS) and the IRS Chief Counsel.  TIGTA conducts independent audits, investigations, inspections, and evaluations necessary to prevent and detect waste, fraud, and abuse in IRS programs and operations, and helps to ensure that the IRS protects and secures taxpayer data. TIGTA is also responsible for identifying and recommending strategies to address IRS management challenges and implementing the Department's priorities.TIGTA's Office of Audit focuses on the major management and performance challenges confronting the IRS by prioritizing statutory audit coverage and high-risk audit work. The statutory coverage will include audits mandated by the IRS Restructuring and Reform Act of 1998 and other statutory authorities and standards involving cybersecurity, financial management, and taxpayer privacy and rights.  Additionally, audits will be conducted to assess the IRS's implementation of the Tax Cuts and Jobs Act of 2017. The core of TIGTA's audit work will continue to focus on high-risk tax administration areas, such as: 1) improving enforcement of tax law changes, security of taxpayer data, tax compliance, tax systems, and online services to increase revenue; 2) identity theft detection and prevention, fraudulent claims, and improper payments to enhance the efficiency of the IRS; and 3) monitoring the progress of the IRS in achieving its strategic goals.TIGTA's Office of Investigations (OI), concentrates on three areas: 1) employee integrity; 2) employee and infrastructure security; and 3) external attempts to corrupt tax administration.  Conducting investigations in these areas protect the public's confidence in the tax system from allegations of IRS employee misconduct, protecting IRS facilities and data, and investigating allegations of bribery or impersonation of the IRS.  OI's investigative program protects the ability of the IRS to process 253 million tax returns and collect more than $3.5 trillion in annual revenue for the Federal Government.TIGTA's Office of Inspections and Evaluations (I&amp;E) will identify opportunities for improvement in IRS and TIGTA programs by performing inspections and evaluations that report timely, useful, and reliable information to decisionmakers and stakeholders. The oversight activities of I&amp;E include inspecting the compliance of the IRS with established system controls and operating procedures, as well as evaluating the Agency's operations for high-risk systemic inefficiencies."
PB21PF01,021,04,0119  ,400 - Transportation                                                  ,407 - Other transportation                                            ,021-04-0119   Small and Disadvantaged Business Utilization and Outreach,Department of Transportation,Office of the Secretary,"Small and disadvantaged business utilization and outreachFor necessary expenses for small and disadvantaged business utilization and outreach activities, $4,646,000 $4,714,000, to remain available until September 30, 2021 2022: Provided, That notwithstanding 49 U.S.C. 332, these funds may be used for business opportunities related to any mode of transportation: Provided further, That appropriations made available under this heading shall be available for any purpose consistent with prior year appropriations that were made available under the heading ""Minority Business Resource Center Program"".","This appropriation includes funding for the Office of Small and Disadvantaged Business Utilization to ensure that: 1) the small and disadvantaged business policies and programs of the Secretary of Transportation are developed and implemented throughout the Department in a fair, efficient, and effective manner; and 2) effective outreach activities are in place to assist small businesses owned and controlled by socially and economically disadvantaged individuals, small businesses owned and controlled by women, small businesses owned and controlled by service disabled-veterans, Native American small business concerns, and qualified Historically Underutilized Business Zone (HUB Zone) small businesses concerned with securing Department of Transportation contracting and subcontracting opportunities."
