program_title,popular_name,federal_agency,objectives
Conservation Reserve Program,(CRP),"FARM SERVICE AGENCY, AGRICULTURE, DEPARTMENT OF","To protect the Nation's long-term capability to produce food and fiber; to reduce soil erosion and sedimentation, improve water quality, and create or enhance habitat for wildlife."
Colorado River Basin Salinity Control Program,(CRBSCP),"NATURAL RESOURCES CONSERVATION SERVICE, AGRICULTURE, DEPARTMENT OF","To provide financial and technical assistance to: (1) Identify salt source areas; (2) develop project plans to carry out conservation practices to reduce salt loads; (3) install conservation practices to reduce salinity levels; (4) carry out research, education, and demonstration activities; (5) carry out monitoring and evaluation activities; and (6) to decrease salt concentration and salt loading which causes increased salinity levels within in the Colorado River and to enhance the supply and quality of water available for use in the United States and the Republic of Mexico."
Wetlands Reserve Program,(WRP),"NATURAL RESOURCES CONSERVATION SERVICE, AGRICULTURE, DEPARTMENT OF","To assist landowners in restoring and protecting wetlands on eligible lands on which they agree to enter into a permanent or 30-year long-term easement (30-year contract for Indian Tribes), or a restoration cost-share agreement with the Secretary. The goal of WRP is to maximize wetland functions and values and wildlife benefits on every acre enrolled in the program."
Crop Disaster Program,(CDP),"FARM SERVICE AGENCY, AGRICULTURE, DEPARTMENT OF","The Acts authorizes the Secretary to provide disaster assistance to producers who suffered crop losses in the 2000 crop year because of adverse weather conditions.  Disaster payment provisions apply if the crop could not be planted or production, both in quantity and quality, was adversely affected by:  (1) Damaging weather, including drought, excessive moisture, hail, earthquake, freeze, tornado, hurricane, typhoon, volcano, excessive wind, excessive heat, or a combination thereof; or (2) related conditions of insect infestation such as grasshoppers and Mormon crickets, plant disease such as Pierce's disease and watermelon sudden wilt disease, or other deterioration of the crop, including aflatoxin, that is accelerated or exacerbated naturally because of damaging weather occurring before or during harvest."
Commodity Credit Corporation Audit of Financial Statements,CCC Audit of Financial Statements,"FARM SERVICE AGENCY, AGRICULTURE, DEPARTMENT OF",CCC in cooperation with the Office Of the Inspector General (OIG) seeks a contract with a private Audit Firm to conduct an audit of CCC's financial statement.  Contract awarded.
Livestock Compensation Program,(LCP),"FARM SERVICE AGENCY, AGRICULTURE, DEPARTMENT OF",This program will provide immediate assistance to livestock producers in counties that have received primary disaster designation due to drought in 2001 and/or 2002.
Bioenergy Program,(BIO),"FARM SERVICE AGENCY, AGRICULTURE, DEPARTMENT OF",The goals of the Bioenergy Program are to encourage increased purchases of eligible commodities for the purpose of expanding production of such bioenergy and support new production capacity for such bioenergy.
Bill Emerson Humanitarian Trust,(EHT),"FARM SERVICE AGENCY, AGRICULTURE, DEPARTMENT OF","To provide for a Trust solely to meet emergency humanitarian food needs in developing countries, the Secretary of Agriculture shall establish a trust stock of wheat, rice, corn, or sorghum, or any combination of the commodities, totaling not more than 4,000,000 metric tons for use as described."
Milk Income Loss Contract Program ,(MILC),"FARM SERVICE AGENCY, AGRICULTURE, DEPARTMENT OF","To maintain and expand existing markets for dairy which are vital to the welfare of milk producers in the United States. Payments under this program will be limited to dairy operations that produced milk in the United States and commercially marketed milk during the period of October 1, 2007 through September 30, 2013."
Lamb Meat Adjustment Assistance Program ,(LMA),"FARM SERVICE AGENCY, AGRICULTURE, DEPARTMENT OF",The purpose of this program is to provide benefits to sheep and lamb producers in order to reestablish their purchasing power in connection with the normal production of sheep and lambs for domestic consumption and boost the long-term development and growth of sheep and lamb farming in the United States.
Tree Assistance Program,(TAP),"FARM SERVICE AGENCY, AGRICULTURE, DEPARTMENT OF","This program provides assistance to tree, bush and vine owners who have trees, bushes or vines lost by a natural disaster. The statute authorizes payments only for eligible owners who actually replant or rehabilitate eligible trees, bushes and vines and who produce annual crops from trees for commercial purposes."
Dairy Market Loss Assistance Program,(DMLA III),"AGRICULTURE, DEPARTMENT OF, AGRICULTURE, DEPARTMENT OF","The purpose of this program is to provide benefits to dairy operations under Public Law 105-277, 112 Stat. 2681; Sections 805 and 825 of Public Law 106-78; and section 805 of Public Law 106-387 only, in order to provide financial assistance to dairy operations in connection with normal milk production that is sold on the commercial market."
Tobacco Transition Payment Program,(TTPP),"FARM SERVICE AGENCY, AGRICULTURE, DEPARTMENT OF","The Fair and Equitable Tobacco Reform Act of 2004 repeals the federal tobacco price support/production control program, provides compensation payments to tobacco quota owners for the elimination of their government-created asset (quota), and provides transition payments to active tobacco producers."
Aquaculture Grants Program (AGP),Aquaculture Grants Program,"FARM SERVICE AGENCY, AGRICULTURE, DEPARTMENT OF",To provide assistance to eligible aquaculture producers.
Biomass Crop Assistance Program,(BCAP),"FARM SERVICE AGENCY, AGRICULTURE, DEPARTMENT OF","The purpose of BCAP is to encourage the production of biofuels.  BCAP accomplishes this by providing funding for agricultural and forest land owners and operators to receive matching payments for certain eligible material sold to qualified biomass conversion facilities for conversion to heat, power, bio based products, or advanced biofuels.  It also provides funding for producers of eligible crops of renewable biomass within specified project areas to receive establishment payments and annual payments."
Livestock Indemnity Program,(LIP),"FARM SERVICE AGENCY, AGRICULTURE, DEPARTMENT OF","The Livestock Indemnity Program (LIP) compensates livestock producers for livestock death losses in excess of normal mortality that died as a direct result or an eligible adverse weather event that occured on or after January 1, 2008, and before October 1, 2011.  The livestock must have died no later than 60 calendar days from the ending date of the applicable adverse weather event, but before November 30, 2011.  No State, county or other trigger will be used to define an eligible LIP area.  Sign up will begin when an eligible disaster is apparent. The American Taxpayer Relief Act of 2012 (ATRA) extended LIP to cover livestock losses in excess of normal mortality that occur through September 30, 2013, subject to appropriations."
Livestock Forage Disaster Program,(LFP),"FARM SERVICE AGENCY, AGRICULTURE, DEPARTMENT OF","The objective of LFP is to provide financial assistance from the Agricultural Disaster Relief Trust Fund (Trust Fund).  The Secretary of Agriculture (henceforth the Secretary) has the authority to use sums from the Trust Fund to provide compensation to livestock producers who suffered grazing losses due to drought or fire.  For drought, the losses must have occurred because of a qualifying drought during the normal grazing period for the county on land that is native or improved pastureland with permanent vegetative cover or is planted to a crop planted specifically for grazing covered livestock.  For fire, LFP provides payments to eligible livestock producers that have suffered grazing losses on range land managed by a Federal agency if the eligible livestock producer is prohibited by the Federal agency from grazing the normal permitted livestock on the managed range land because of a qualifying fire.  Eligible grazing losses must have occurred on or after January 1, 2008, and before October 1, 2011.  The eligible grazing losses must occur within the same calendar year for which benefits are being requested.

ATRA provides extending benefits to livestock producers for grazing losses due to drought and wildfires on Federal lands through September 30, 2013, subject to appropriations."
Supplemental Revenue Assistance Program,"(SURE)

","FARM SERVICE AGENCY, AGRICULTURE, DEPARTMENT OF",The objective of the SURE program is to provide financial assistance for farm revenue losses due to natural disaster.  Assistance is provided from the Agricultural Disaster Relief Trust Fund (Trust Fund) established under Public Law 110-246. The Secretary of Agriculture (henceforth the Secretary) has the authority to use the Trust Fund  to make crop disaster assistance payments to eligible producers on farms in disaster counties whose actual production is less than 50 percent of their normal production.  A disaster county  means a county included in the geographic area covered by a qualifying natural disaster declaration by the Secretary.  SURE is the 2008 Farm Bill's successor to the prior Crop Disaster Programs.  SURE is legislated through fiscal year 2011.
"Emergency Assistance for Livestock, Honeybees, and Farm-Raised Fish Program",(ELAP),"FARM SERVICE AGENCY, AGRICULTURE, DEPARTMENT OF","The objective of ELAP is to provide emergency assistance to eligible producers of livestock, honeybees, and farm-raised fish who have losses due to disease, adverse weather, or other conditions, including losses due to blizzards and wildfires, as determined by the Secretary of Agriculture (Secretary).  Assistance is provided from the Trust Fund established under Public Law 110-246.  ELAP assistance is for losses not covered under other Supplemental Agricultural Disaster Assistance Payment programs specifically Livestock Forage Program (LFP), Livestock Indemnity Program (LIP), and the Supplemental Assistance Program (SURE).  ELAP is authorized for fiscal years 2008 through September 30, 2011.  The American Taxpayer Relief Act of 2012 extended authority for ELAP under the Food, Conservation, and Energy Act of 2008 (the 2008 Farm Bill) for the 2012 and 2013 fiscal years.  However, for 2012 and 2013 fiscal years funding has not been appropriated for ELAP.   "
Tree Assistance Program,(TAP),"FARM SERVICE AGENCY, AGRICULTURE, DEPARTMENT OF","The Tree Assistance Program (TAP) provides financial assistance to qualifying orchardists and nursery tree growers to replant or rehabilitate eligible trees, bushes and vines affected by natural disasters and suffered mortality losses in excess of 15 percent, after adjustment for normal mortality occurring on or after January 1, 2008, and before October 1, 2011.  TAP was authorized by the 2008 Farm Bill and is funded through the Agricultural Disaster Relief Trust Fund under Section 902 of the Trade Act of 1974."
Voluntary Public Access and Habitat Incentive Program,(VPA-HIP),"NATURAL RESOURCES CONSERVATION SERVICE, AGRICULTURE, DEPARTMENT OF","The primary objective of the VPA-HIP is to encourage owners and operators of privately-held farm, ranch, and forest land to voluntarily make that land available for access by the public for wildlife-dependent recreation, including hunting or fishing, under programs implemented by state or tribal governments."
Durum Wheat Quality Program,(DWQP),"FARM SERVICE AGENCY, AGRICULTURE, DEPARTMENT OF","The Durum Wheat Quality Program (DWQP) compensates producers of durum wheat for up to 50 percent of the actual cost of fungicide applied to control Fusarium head blight (FHB), commonly known as wheat scab, for fiscal years (FY) 2009 through 2012, subject to availability of funding."
Reimbursement Transportation Cost Payment Program for Geographically Disadvantaged Farmers and Ranchers,(RTCP),"FARM SERVICE AGENCY, AGRICULTURE, DEPARTMENT OF","The intended goal of the program is to provide direct reimbursement payments to a geographically disadvantaged farmer or rancher who transports an agricultural commodity, or inputs used to produce an agricultural commodity during a fiscal year.  Input transportation cost are transportation costs of inputs used to produce an agricultural commodity including, but not limited to, air, ocean, and land freight of chemicals, feed, fertilizer, fuel, seeds, plants, supplies, equipment parts, and other inputs.

The Farm Service Agency (FSA), Deputy Administrator for Farm Programs (DAFP) administers RTCP.  The program will be carried out in the field by FSA State and county committee and FSA employees.  State and local governments and their political subdivisions and related agencies are not eligible for RTCP payments."
Conservation Loans ,,"FARM SERVICE AGENCY, AGRICULTURE, DEPARTMENT OF","Conservation Loan (CL) program is to provide access to credit for farmers who need and want to implement conservation measures on their land but do not have the “up front” funds available to implement these practices. Unlike FSA’s traditional farm ownership and operating loan programs that are targeted toward smaller and less financially established farmers, eligibility requirements for the CL program are expanded to permit FSA to provide assistance to some applicants who may be large and financially strong."
Hawaii Sugar Disaster Program,Hawaii Sugar Disaster Program (HSDP),"FARM SERVICE AGENCY, AGRICULTURE, DEPARTMENT OF",Section 2 of P.L. provided a Lack of Access provision which authorized the Secretary of Agriculture to provide equitable relief to producers on a farm that suffered a production loss during the 2008 crop year.
Emergency Forest Restoration Program ,(EFRP),"FARM SERVICE AGENCY, AGRICULTURE, DEPARTMENT OF","The object of EFRP is to make financial assistance available to eligible participants on eligible land for certain practices to restore nonindustrial private forest land that has been damaged by a natural disaster.  The financial assistance  will be cost share payments to assist an EFRP participant to establish practices required to address qualifying damage suffered in connection with a qualifying disaster.

"
2009 Aquaculture Grant Program,AGP,"FARM SERVICE AGENCY, AGRICULTURE, DEPARTMENT OF",To provide assistance to eligible aquaculture producers that suffered financial losses associated with high feed input costs during the 2009 calendar year.
Poultry Loss Contract Grant Assistance Program,PGAP,"FARM SERVICE AGENCY, AGRICULTURE, DEPARTMENT OF","To provide assistance to eligible poultry growers whose poultry growing arrangements with a live poultry dealer were terminated because of the bankruptcy of the live poultry dealer between May 1, 2008 and July 1, 2010, and the poultry grower did not enter into a poultry growing arrangement with any live poultry dealer for one month after termination of the poultry growing arrangement."
"Disaster Relief Appropriations Act, Emergency Conservation Program","Disaster Relief Appropriations Act, ECP","FARM SERVICE AGENCY, AGRICULTURE, DEPARTMENT OF","To enable farmers to perform emergency conservation measures to control wind erosion on farmlands, to rehabilitate farmlands damaged by wind erosion, floods, hurricanes, or other natural disasters.  "
"Disaster Relief Appropriations Act, Emergency Forest Restoration Program","Disaster Relief Appropriations Act, EFRP","FARM SERVICE AGENCY, AGRICULTURE, DEPARTMENT OF",To provide financial assistance to eligible participants on eligible land for certain practices to restore nonindustrial private forest land that has been damaged by a natural disaster.  The financial assistance will be cost share payments to assist in EFRP participant to establish practices required to address qualifying damage suffered in connection with a qualifying disaster.
Livestock Indemnity Program-2014 Farm Bill,(LIP),"FARM SERVICE AGENCY, AGRICULTURE, DEPARTMENT OF","LIP provides benefits to eligible livestock owners or livestock contract growers for livestock deaths in excess of normal mortality caused by eligible loss conditions, including eligible adverse weather, eligible disease and by attacks by animals reintroduced into the wild by the federal government or protected by federal law, including wolves and avian predators.  In addition, LIP provides assistance to eligible livestock owners that must sell livestock at a reduced price because of an injury from an eligible loss condition."
Livestock Forage Program,(LFP),"FARM SERVICE AGENCY, AGRICULTURE, DEPARTMENT OF",LFP provides compensation to eligible livestock producers that have suffered grazing losses for covered livestock on land that is native or improved pastureland with permanent vegetative cover or is planted specifically for grazing. It also provides compensation to eligible livestock producers that have suffered grazing losses on rangeland managed by a federal agency if the eligible livestock producer is prohibited by the federal agency from grazing the normal permitted livestock on the managed rangeland due to a qualifying fire.
"Emergency Assistance for Livestock, Honeybees and Farm-Raised Fish Program",(ELAP),"FARM SERVICE AGENCY, AGRICULTURE, DEPARTMENT OF","ELAP provides financial assistance to eligible producers of livestock, honeybees and farm-raised fish for losses due to disease, certain adverse weather events or loss conditions, including blizzards and wildfires, as determined by the Secretary. ELAP assistance is provided for losses not covered by other disaster assistance programs authorized by the 2014 Farm Bill, such as losses not covered by the Livestock Forage Disaster Program (LFP) and the Livestock Indemnity Program (LIP)."
Tree Assistance Program,(TAP),"FARM SERVICE AGENCY, AGRICULTURE, DEPARTMENT OF","TAP provides financial assistance to eligible orchardists and nursery tree growers to replant or rehabilitate eligible trees, bushes, and vines damaged by natural disasters."
Price Loss Coverage,(PLC),"FARM SERVICE AGENCY, AGRICULTURE, DEPARTMENT OF",The Price Loss Coverage program (PLC) is carried over from the 2014 Farm Bill. PLC provides income support through price loss payments to eligible producers.
Agriculture Risk Coverage Program,ARC,"FARM SERVICE AGENCY, AGRICULTURE, DEPARTMENT OF",The ARC program carried over from the 2014 Farm Bill.  ARC provides income support to eligible producers of covered commodities.
Cotton Transition Assistance Program,(CTAP),"FARM SERVICE AGENCY, AGRICULTURE, DEPARTMENT OF","CTAP is a temporary program that provides payments to producers on farms for which cotton base acres were in existence as of September 30, 2013.  "
Dairy Product Donation,(DPDP),"FARM SERVICE AGENCY, AGRICULTURE, DEPARTMENT OF","The Dairy Product Donation Program (DPDP) is designed to address low dairy producer margins, through periodic purchases of dairy products.  Funding will be provided by the Commodity Credit Corporation (CCC).  The purchase aspect of DPDP will be operated y the Secretary of Agriculture (Secretary) and for CCC by the Farm Service Agency (FSA) under the direction of the FSA's Deputy Administrator for Commodity Operations.  The distribution of products purchased through DPDP will be operated for the Secretary under the direction of the Food and Nutrition Service (FNS)."
The Margin Protection Program,MPP-Dairy,"FARM SERVICE AGENCY, AGRICULTURE, DEPARTMENT OF","MPP-Dairy offers a protection plan which provides payments to dairy operations when the difference between the all-milk price and the average feed cost falls below a certain, producer selected, dollar amount.  Producers will be eligible for a basic level of margin protection for a small administrative fee, and be able to purchase greater coverage for a premium.  The Secretary of Agriculture (Secretary) will use administrative fees collected to cover administrative costs incurred to carry out the margin protection program.  Not renewed with Agriculture Improvement Act of 2018, see Dairy Margin Coverage, CFDA 10.127."
Biofuel Infrastructure Partnership,Biofuel Infrastructure Partnership (BIP),"FARM SERVICE AGENCY, AGRICULTURE, DEPARTMENT OF","The objective of BIP is to expand infrastructure for renewable fuels, in order to increase the demand for ethanol, by offering competitive grants to States, the Commonwealth of Puerto Rico, and Washington, D.C.  Federal funds, matched with state and private contributions, will create innovative ways to distribute higher blends of renewable fuel.
Currently not soliciting applications."
Cotton Ginning Cost Share Program,CGCS,"FARM SERVICE AGENCY, AGRICULTURE, DEPARTMENT OF","With respect to cotton ginning expenses for the 2016 cotton crop, the Cotton Ginning Cost-Share (CGCS) Program provides a one-time cost-share payment, not to exceed 40 percent of calculated ginning costs by region, to cotton producers certifying to the number of cotton acres reported as being planted, including failed acreage, for the 2016 crop year and the percentage of share they had in the cotton."
Dairy Assistance Program for Puerto Rico,DAP-PR,"FARM SERVICE AGENCY, AGRICULTURE, DEPARTMENT OF",DAP-PR provided assistance to dairy operations affected by hurricanes in 2017 to purchase feed from feed dealers in Puerto Rico.  Additional assistance was provided for additional days of feed or for purchasing fuel if funds remained available.  The assistance provided help to the dairy industry in Puerto Rico with the production and marketing of dairy.
2017 Wildfires and Hurricanes Indemnity Program,2017 WHIP,"FARM SERVICE AGENCY, AGRICULTURE, DEPARTMENT OF","The 2017 WHIP is directly reimbursing producers for crop production losses in 2018. In addition to WHIP, USDA is providing a grant to Florida, which is reimbursing citrus producers for the cost of buying and planting replacement trees, including resetting and grove rehabilitation, and for repair of damages to irrigation systems. This grant is also providing assistance for losses of citrus production expected during the 2019 and 2020 crop years."
Conservation Reserve Program Forest Inventory Analysis Pilot Program,CRPFIA,"FARM SERVICE AGENCY, AGRICULTURE, DEPARTMENT OF","The Farm Service Agency (FSA), on behalf of Commodity Credit Corporation (CCC), is announcing the availability of competitive grants to conduct a forest inventory analysis, forest management, and economic outcomes modelling, for certain currently enrolled Conservation Reserve Program (CRP) land. The analysis is focused on lands enrolled in CRP for at least 8 years and located in areas with a substantial concentration of acres enrolled under the following conservation practices devoted to multiple bottomland hardwood tree species: General tree planting, hardwood tree planting, vegetative cover on previously established tree stands, riparian buffers, bottomland timber establishments, and farmable and aquaculture wetlands."
Market Facilitation Program,MFP,"FARM SERVICE AGENCY, AGRICULTURE, DEPARTMENT OF","The Commodity Credit Corporation (CCC) is issuing new regulations to implement MFP.  MFP provides assistance for producers with commodities that have been significantly impacted by actions of foreign governments resulting in the loss of traditional exports. The imposition of tariffs by other countries on U.S. agricultural products, among other actions, are disrupting marketing of agricultural commodities and are outside of the control of the agricultural producers who are being negatively impacted."
Farm-to-Fleet Feedstock Program Biofuel Production Incentive,BFP,"FARM SERVICE AGENCY, AGRICULTURE, DEPARTMENT OF",The objectives of BFP is to have the capability to produce ready drop-in replacement advance biofuels meeting military specifications at a price competitive with petroleum; provide geographically diverse locations for ready market access; and will not have a significant impact on the supply of agricultural commodities for the production of food.  This will allow the Federal government to cooperate with the industry to create a strong demand signal and to make targeted investments to achieve the necessary production capacity required for a robust domestic advance drop-in biofuels industry.
Hazardous Waste Management,Hazardous Waste Management,"FARM SERVICE AGENCY, AGRICULTURE, DEPARTMENT OF","The Hazardous Waste Management uses Section 4 funding to contract directly with private sector vendors to provide technical support for site investigation and remedial actions at the Commodity Credit Corporation (CCC) waste sites.

The Department of Agriculture (USDA) CCC managed a large-scale surplus grain storage program from the late 1930’s until the mid-1970s as part of USDA’s price support program for American farmers. The CCC operated the grain storage program at various leased properties in Nebraska, Kansas, Missouri, and other states. Because much of the grain was stored for extended periods of time, it was periodically necessary to fumigate the grain to control destructive insects. The fumigant mixture most commonly used by CCC contained the chlorinated solvent carbon tetrachloride. Carbon tetrachloride was used as a pesticide for the stored grain until banned by the Environmental Protection Agency in 1985."
Dairy Margin Coverage,DMC,"FARM SERVICE AGENCY, AGRICULTURE, DEPARTMENT OF","DMC offers a protection plan which provides payments to dairy operations when the difference between the all-milk price and the average feed cost fall below a certain, producer selected, dollar amount.  Producers will be eligible for a basic level of margin protection for a small administrative fee and be able to purchase higher coverage with a fee.  The Secretary of Agriculture (Secretary) will use administrative fees collected to cover administrative costs incurred to carry out the margin protection program."
Wildfires and Hurricanes Indemnity Program Plus,WHIP Plus,"FARM SERVICE AGENCY, AGRICULTURE, DEPARTMENT OF","The WHIP Plus is directly reimbursing producers for crop, tree, bush, and vine losses due to qualifying disaster events in 2018 and 2019."
Dairy Product Price Support Program,DPPSP formerly known as the Milk Price Support Program (MPSP),"FARM SERVICE AGENCY, AGRICULTURE, DEPARTMENT OF","The purpose of DPPSP is to establish minimum purchase prices to support the price of nonfat dry milk (NDM), butter, and cheddar cheese through purchases of such products made from cows milk produced in the United States (U.S.).  The Secretary of Agriculture (Secretary) may increase the purchase prices when it is considered to be appropriate.  However to avoid excess inventory the minimum purchase prices can only be temporarily adjusted downward as outline in P.L. 110-246.  P.L. 110-246 reauthorized MPSP as DPPSP beginning January 1, 2008 through December 31, 2012.  PL 112-240 DPPSP reauthroized DPPSP through December 31, 2013"
Market News,,"AGRICULTURAL MARKETING SERVICE, AGRICULTURE, DEPARTMENT OF","To provide timely and accurate information on prices, demand, movement, volume, and quality on all major U.S. agricultural commodities to state departments of agriculture. "
Marketing Agreements and Orders,,"AGRICULTURAL MARKETING SERVICE, AGRICULTURE, DEPARTMENT OF","Marketing Agreements and Orders are designed to stabilize market conditions and improve returns to producers through the establishment of minimum prices, regulating the quality and quantity of commodities sold through commercial channels, and providing market promotion."
Federal-State Marketing Improvement Program,FSMIP,"AGRICULTURAL MARKETING SERVICE, AGRICULTURE, DEPARTMENT OF",To assist in exploring new market opportunities for U.S. food and agricultural products and to encourage research and innovation aimed at improving the efficiency and performance of the U.S. marketing system. 
Inspection Grading and Standardization,(Agricultural Fair Practices Act),"AGRICULTURAL MARKETING SERVICE, AGRICULTURE, DEPARTMENT OF",To develop and apply standards of quality and condition for agricultural commodities; to participate and assist in the development of international agricultural standards; and to conduct quarterly inspections of egg handlers and hatcheries.
Market Protection and Promotion,,"AGRICULTURAL MARKETING SERVICE, AGRICULTURE, DEPARTMENT OF",The Federal Seed Program prevents mislabeled seed from moving in interstate commerce by providing for random sampling of seeds to insure accurate labeling of seed characteristics. The Pesticide Data Program works with participating States to collect and analyze data on pesticide use and residue levels for selected commodities in the nation's food supply. This program provides statistically based data to Federal agencies for use in making policy decisions for regulatory and educational purposes.
Wholesale Farmers and Alternative Market Development,,"AGRICULTURAL MARKETING SERVICE, AGRICULTURE, DEPARTMENT OF",To provide technical assistance to States and municipalities interested in creating or upgrading markets and marketing facilities.
Perishable Agricultural Commodities Act,,"AGRICULTURAL MARKETING SERVICE, AGRICULTURE, DEPARTMENT OF","To reduce unfair and fraudulent practices in the marketing of perishable agricultural commodities in interstate and foreign commerce.  To prevent the destruction or dumping, without good and sufficient cause of farm produce received in interstate commerce by commission merchants and others and to require them truly and correctly to account for all farm produce received by them."
Transportation Services,,"AGRICULTURAL MARKETING SERVICE, AGRICULTURE, DEPARTMENT OF","The Transportation Services program develops and promotes efficient agriculture transportation systems to help improve farm income, expand exports and meet the needs of rural America. The program provides technical and administrative direction, coordination, and leadership in the development and execution of agricultural transportation policies. Transportation Services provides a basis for Federal-State decision-makers in regulatory, policy and legislative matters in order to assure the transportation needs of rural communities and agriculture."
Farmers Market Promotion Program,FMPP,"AGRICULTURAL MARKETING SERVICE, AGRICULTURE, DEPARTMENT OF","To increase domestic consumption of and access to locally and regionally produced agricultural products, and to develop new market opportunities for farm and ranch operations serving local markets, by developing, improving, expanding, and providing outreach, training, and technical assistance to, or assisting in the development, improvement, and expansion of domestic farmers markets, roadside stands, community-supported agriculture programs, agri-tourism activities and other direct producer-to-consumer market opportunities."
Specialty Crop Block Grant Program,(SPECIALTY CROP BLOCK GRANT PROGRAM),"AGRICULTURAL MARKETING SERVICE, AGRICULTURE, DEPARTMENT OF","To increase fruit, vegetable, and nut consumption and improve the competitiveness of United States specialty crop producers."
Specialty Crop Block Grant Program - Farm Bill,Specialty Crop Block Grant Program (SCBGP) or  Specialty Crop Multi-State Program (SCMP),"AGRICULTURAL MARKETING SERVICE, AGRICULTURE, DEPARTMENT OF","The U.S. Department of Agriculture’s (USDA) Agricultural Marketing Service (AMS) implements the Specialty Crop Block Grants through the Specialty Crop Block Grant Program (SCBGP) and the Specialty Crop Multi-State Program (SCMP) to enhance the competitiveness of specialty crops. Specialty crops are defined as fruits, vegetables, tree nuts, dried fruits, horticulture, and nursery crops (including floriculture). The SCBGP issues non-competitive, formula grants to state departments of agriculture for the purposes of leveraging efforts to market and promote specialty crops; assisting producers with research and development relevant to specialty crops; expanding availability and access to specialty crops; and addressing local, regional, and national challenges confronting specialty crop producers. SCMP competitively awards funds for collaborative, multi-state projects that address the following regional or national level specialty crop issues: food safety, plant pests and disease, research, crop-specific projects addressing common issues, and marketing."
Organic Certification Cost Share Programs,OCCSP,"FARM SERVICE AGENCY, AGRICULTURE, DEPARTMENT OF",The objective of this program is to provide financial assistance to certified organic producers and handlers. 
